"bairro","location","preco","quartos","m2","corretora","data","link","pm2"
"Asa Norte ","SHN QUADRA 01 PR?XIMO AO MAN? GARRINCHA",310000,1,28,"11991",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-shn-quadra-01-1155458",11071.4285714286
"Sudoeste ","QMSW 06 ESPA?O VILLA VERDE",310000,1,25.09,"6958",2014-01-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-06-1156933",12355.5201275409
"Asa Norte ","CLN 110 BLOCO B ",310000,1,38,"10006",2013-12-12,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-110-bloco-b-1148931",8157.8947368421
"Asa Norte ","SGAN 915 ",310100,1,29,"17127",2014-01-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-915-850870",10693.1034482759
"Asa Sul ","SEPS 713/913 EXCELENTE OPORTUNIDADE!!! 9988-0999",315000,1,27,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-seps-713-913-1044037",11666.6666666667
"Asa Norte ","SHN QUADRA 01 SAINT MORITZ EXCELENTE  INVESTIMENTO",315000,1,26,"12230",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-shn-quadra-01-1161482",12115.3846153846
"Sudoeste ","QMSW 04 REFORMADA, DIVIDIDA, V. GARAGEM, AC. TROCA",315000,1,37,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-1036341",8513.51351351351
"Asa Sul ","SQS 404 NASCENTE, VISTA LIVRE",315000,1,30,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-404-1012175",10500
"Sudoeste ","QMSW 04 TODA REFORMADA - LINDA - ACEITA TROCA",315000,1,37,"17814",2014-01-23,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-792804",8513.51351351351
"Asa Norte ","SCLRN 715 BLOCO F ",315000,1,50,"4497",2013-12-27,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-715-bloco-f-705533",6300
"Asa Norte ","SHN 05 ALLIA HOTEL",315000,1,27,"9706",2013-12-18,"/imovel/venda-apartamento-brasilia-df-1-quarto-shn-05-701686",11666.6666666667
"Noroeste ","SQNW -BARATO! ELEVADOR E GARAGEM, ACEITA FINANCIAMENTO-",315000,1,33.23,"9909",2014-01-22,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqnw-508800",9479.38609690039
"Noroeste ","CLNW 10/11 LOTE C 1 E 2 QUARTOS  NOROESTE -PRONTO",320000,1,31.3,"14302",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-clnw-10-11-lote-c-1066912",10223.642172524
"Asa Sul ","SQS 409 3? ANDAR, MEIO DE QUADRA!!!",320000,1,40,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-409-1080456",8000
"Asa Sul ","CRS 502 BLOCO B ED. BRAFER - EXCELENTE LOCALIZA??O",320000,1,37.56,"4036",2014-01-27,"/imovel/venda-apartamento-brasilia-df-1-quarto-crs-502-bloco-b-1157978",8519.70181043663
"Asa Sul ","CRS 514 - EXCELENTE OPORTUNIDADE - 02 QTS",320000,2,45,"13933",2014-01-25,"/imovel/venda-apartamento-brasilia-df-2-quartos-crs-514-1101755",7111.11111111111
"Asa Sul ","CRS 515 - IPTU RESIDENCIAL.VARANDA!!!",320000,2,43,"7421",2014-01-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-crs-515-1147726",7441.86046511628
"Sudoeste ","EQRSW 7/8 - MONUMENTAL SUDOESTE",320000,1,33.43,"17097",2014-01-20,"/imovel/venda-apartamento-brasilia-df-1-quarto-eqrsw-7-8-1109803",9572.24050254263
"Asa Sul ","SQS 409 1 QUARTO, MEIO DE QUADRA!!!",320000,1,38,"11983",2014-01-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-409-635137",8421.05263157895
"Asa Sul ","SHS QUADRA 02 BLOCO J ",320000,1,54,"1704",2014-01-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-shs-quadra-02-bloco-j-1158603",5925.92592592593
"Noroeste ","SQNW ",320000,1,34.9,"17969",2014-01-02,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqnw-944345",9169.05444126075
"Asa Sul ","SQS 411 ORIGINAL ?TIMO PARA REFORMA",320000,1,51,"7063",2013-12-14,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-411-743948",6274.50980392157
"Noroeste ","SQNW VIA SOHO- DIRETO DA CONSTRUTORA- 9668 4243",323000,1,33.7,"11546",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqnw-466706",9584.56973293769
